district_code,year,bus_replace,attendance,gifted,white,college,advtgd,fleet_size,pupils_trans,enrollment
1262950,2012,6.694080352783203,96.90467834472656,81,517,162,410,5,519,1133
1262968,2010,0,92.95000457763672,3,13,0,4,1,5,20
1262968,2011,2.667970895767212,76.16666412353516,4,9,0,2,1,9,24
1262968,2012,6.694080352783203,94.35293579101563,4,6,0,2,0,0,17
1262976,2009,0,86.71809387207031,13,287,90,234,3,112,525
1262976,2010,0,85.73863220214844,53,267,101,201,3,109,528
1262984,2009,0,91.36363983154297,2,13,0,4,1,9,22
1262984,2011,2.667970895767212,95.87179565429688,0,21,1,4,1,15.2,39
1263016,2009,0,94.65333557128906,42,405,88,290,2,236,675
1263016,2010,0,96.03592681884766,7,380,104,277,2,233,668
1263024,2009,0,97.15422821044922,0,110,34,51,1,35,201
1263024,2011,2.667970895767212,94.73755645751953,11,121,29,65,1,18,221
1263032,2009,0,61.16013336181641,0,311,60,173,3,69,612
1263032,2010,0,58.92472839355469,11,311,73,161,1,45,651
1263032,2011,2.667970895767212,60.36420440673828,14,312,80,157,2,27.9,637
1263040,2010,0,90.937744140625,49,431,57,265,21,690,771
1263040,2009,0,90.73815155029297,56,431,69,272,22,690,802
1263040,2011,2.667970895767212,91.16055297851563,45,440,75,248,21,659,791
1263040,2012,6.694080352783203,94.76486206054688,30,421,76,251,21,667,757
1263057,2010,0,92.57692718505859,12,85,37,46,2,12,156
1263057,2011,2.667970895767212,92.94594573974609,15,108,45,48,1,16,185
1263057,2012,6.694080352783203,100.1525421142578,20,96,40,45,1,15,177
1275374,2010,0,92.62948608398438,33,290,84,271,2,81,502
1275374,2012,6.694080352783203,97.67355346679688,35,281,81,252,2,108,484
1275382,2010,0,2.905274391174316,6,491,168,606,1,11,929
1275382,2012,6.694080352783203,10.21132564544678,0,404,123,453,1,16,724
1275515,2010,0,90.38626098632813,309,1560,527,1130,10,542,3961
1275515,2009,0,92.01566314697266,323,1827,579,1213,12,690,4149
1275515,2011,2.667970895767212,95.26210021972656,250,1488,483,1082,10,589,3884
1363073,2011,0,92.77845764160156,254,171,309,646,12,588.6,3778
1363073,2009,0,95.0396728515625,251,214,333,728,12,370,3680
1363073,2010,0,96.20664215087891,217,168,321,723,12,613.9,3794
1363081,2010,0,89.14286041259766,247,153,178,489,6,120,1932
1363081,2011,0,91.28852844238281,325,149,149,475,3,120,1875
1363081,2009,0,92.41239929199219,266,166,165,487,4,159,1952
1363099,2011,0,91.38311767578125,205,29,1082,1691,12,272,9287
1363099,2009,0,94.96585845947266,124,40,966,8,15,155,9255
1363099,2012,3.345880508422852,96.83799743652344,224,31,1044,2,14,1200,9216
1363107,2011,0,95.91545104980469,55,79,63,148,6,216,1171
1363115,2011,0,93.46869659423828,236,177,390,984,15,437.5,4009
1363115,2010,0,93.67966461181641,46,190,360,1425,17,591,4102
1363115,2012,3.345880508422852,96.24777984619141,96,156,403,929,13,446,4056
1363123,2010,0,92.70433807373047,417,216,375,944,8,220,5584
1363123,2009,0,96.23582458496094,424,206,346,1187,8,288,5644
1363123,2011,0,89.88572692871094,201,216,328,896,8,386,5828
1363131,2010,0,94.09445953369141,15,2,53,92,4,230,1101
1363131,2011,0,95.97150421142578,0,3,49,65,4,202,1158
1363149,2010,0,93.30783081054688,84,161,187,270,7,244,1712
1363149,2009,0,96.32921600341797,82,216,189,0,7,240,1701
1363149,2012,3.345880508422852,99.38722229003906,82,134,5,9,7,250,1596
1363164,2010,0,93.76305389404297,351,550,421,1620,12,941,3600
1363164,2011,0,97.90178680419922,371,532,447,1611,12,901,3635
1363172,2011,0,97.68992614746094,0,68,45,82,1,16,129
1363172,2009,0,97.74576568603516,0,59,31,73,1,16,118
1363172,2012,3.345880508422852,98.81679534912109,0,63,38,82,1,18,131
1363180,2011,0,95.00654602050781,0,160,258,653,10,521,1222
1363180,2010,0,96.21034240722656,71,162,234,661,10,538,1160
1363180,2012,3.345880508422852,98.79466247558594,2,157,258,646,10,429.1,1237
1363198,2009,0,98.32712554931641,2,25,23,112,5,248,483
1363198,2011,0,96.09591674804688,3,22,37,37,5,282.2,490
1363198,2012,3.345880508422852,98.68618774414063,1,28,40,0,5,260.7,478
1363206,2011,0,96.25301361083984,0,24,20,33,1,57,83
1363206,2010,0,95.57777404785156,0,25,16,37,1,42.8,90
1363214,2010,0,90.25702667236328,27,31,12,0,8,434.5,747
1363214,2011,0,94.5731201171875,9,16,6,431,7,430,759
1363230,2009,0,94.85713958740234,36,21,17,0,2,22,364
1363230,2011,0,95.73262023925781,31,18,23,17,3,16,374
1363230,2010,0,96.65364837646484,31,25,20,6,3,15,384
1363230,2012,3.345880508422852,94.82337188720703,36,18,24,1,3,15,385
1463248,2011,7.886435508728027,91.37297058105469,3,53,21,28,2,40.6,185
1463248,2012,11.75088119506836,92.87310028076172,2,44,14,33,2,40.3,197
1463263,2009,0,89.80223846435547,101,275,70,348,5,168.2,713
1463271,2009,0,86.54545593261719,0,45,8,16,5,67,77
1463271,2012,11.75088119506836,89.77777862548828,0,28,5,14,3,59,63
1463289,2009,0,92.22474670410156,49,106,28,97,6,129,396
1463289,2011,7.886435508728027,93.15499877929688,34,81,29,94,6,129,400
1463305,2009,0,94.5213623046875,0,75,9,69,2,72.7,117
1463305,2010,3.8955979347229,91.35114288330078,1,65,16,68,2,82.59999999999999,131
1764014,2011,0,92.41070556640625,0,675,167,300,6,525,1719
1764014,2010,0,92.76174163818359,0,700,158,396,6,724,1746
1764014,2009,0,94.43778228759766,0,762,175,413,8,854,1752
1764022,2011,0,89.07184600830078,72,1182,80,306,18,772,3090
1764022,2009,0,91.11164855957031,78,1368,69,404,15,1359.1,3108
1764022,2010,0,92.52500915527344,80,1228,81,354,19,1375,3099
1764030,2009,0,95.53030395507813,72,811,182,566,9,508,1650
1764055,2009,0,87.54254913330078,103,958,284,845,8,422,1845
1764055,2010,0,88.09271240234375,75,894,277,771,7,377,1715
1764055,2012,10.88731670379639,93.65114593505859,0,916,311,720,6,424,1697
1764063,2009,0,90.01092529296875,50,221,16,76,4,192,549
1764063,2012,10.88731670379639,94.39579772949219,0,199,10,44,3,179,523
1764071,2011,0,82.20899963378906,0,157,27,77,3,122.7,378
1764071,2010,0,82.45734405517578,0,171,30,72,4,160,422
1764071,2012,10.88731670379639,85.42975616455078,0,149,16,59,3,117.2,363
1864089,2009,0,96.42152404785156,6,144,29,79,5,138,223
1864089,2010,0,97.88340759277344,0,124,27,62,5,85,223
1864105,2011,0,93.41481018066406,11,251,60,221,2,161,405
1864113,2009,0,97.84332275390625,15,131,3,109,2,67,217
1864113,2010,0,96.13656616210938,14,139,6,95,1,70,227
1864139,2012,4.940711498260498,87.27846527099609,107,534,88,519,5,187,966
1864162,2010,0,1.592232942581177,0,121,34,58,3,13,206
1864162,2011,0,2.566666603088379,0,179,42,98,3,14,300
1864162,2012,4.940711498260498,4.74117636680603,1,179,66,119,3,10,340
1864196,2010,0,87.97472381591797,26,551,94,384,3,266,1187
1864196,2009,0,93.82247161865234,39,623,128,461,7,408,1228
1864196,2012,4.940711498260498,96.07722473144531,13,434,90,366,3,302,1023
1864204,2011,0,31.38449478149414,8,262,27,189,1,21,645
1864204,2010,0,35.26422882080078,0,434,56,373,1,229,738
1875036,2010,0,93.9595947265625,0,276,39,203,2,199,198
1875036,2009,0,49.93147277832031,6,233,43,206,2,96,394
1875036,2012,4.940711498260498,58.94670867919922,0,200,22,96,1,120,319
2365540,2010,0,91.24111938476563,0,5,28,34,2,185,535
2365540,2011,0,93.38148498535156,0,92,25,74,2,177.6,540
2365540,2012,5.659309387207031,97.41635894775391,0,96,27,71,2.5,168,550
2365565,2010,0,90.43106842041016,79,692,105,436,8,522,1886
2365565,2011,0,92.90889739990234,78,693,129,482,8,498.5,1888
2365573,2009,0,91.59701538085938,0,34,8,27,1,44,67
2365573,2011,0,89.36363220214844,0,20,6,17,1,32,55
2365573,2012,5.659309387207031,89.94444274902344,0,9,1,12,1,27,54
2365581,2010,0,90.47148132324219,27,315,78,265,10,230,526
2365581,2011,0,91.53142547607422,15,321,80,254,8,215,525
2365581,2012,5.659309387207031,94.44190216064453,9,325,93,268,8,209.3,525
2365607,2009,0,73.46997833251953,2,47,8,1,3,308,383
2365607,2010,0,66.88665008544922,0,42,4,40,3,308,397
2365607,2012,5.659309387207031,75.49385833740234,0,41,5,11,3,216,407
2365615,2011,0,82.42005920410156,296,2037,508,1479,14,2200,6211
2365615,2010,0,84.80494689941406,329,2109,526,1502,17,1534,6229
2365615,2012,5.659309387207031,86.40978240966797,269,1913,508,1365,14,2250,6235
2365623,2009,0,83.92588806152344,130,945,173,476,6,529,1943
2373866,2010,0,92.45237731933594,0,124,18,72,2,191,252
2373866,2011,0,96.59841918945313,0,122,25,70,2,168,254
2373866,2012,5.659309387207031,95.52307891845703,0,111,16,57,2,169,260
2373916,2011,0,89.24137878417969,17,193,35,102,3,131,406
2373916,2009,0,91.86528015136719,11,207,28,109,3,149,386
2373916,2010,0,90.51980590820313,16,184,31,101,3,150,404
2373916,2012,5.659309387207031,95.20750427246094,16,175,37,91,3,136,400
2375218,2011,0,89.98197937011719,0,58,7,38,4,90,111
2375218,2010,0,92.65833282470703,0,75,6,48,4,94,120
2565896,2011,0,91.40457916259766,0,63,13,35,2,51,131
2565896,2010,0,93.40972137451172,0,63,8,36,2,55.1,144
2573585,2010,0,89.33956146240234,16,464,113,312,7,226,910
2573585,2011,0,91.47380828857422,16,443,106,297,6,211,859
2573585,2012,10.28806591033936,97.40892791748047,11,465,114,322,5,175,829
2573593,2009,0,91.38130950927734,0,169,41,80,3,227,535
2573593,2010,0,89.95948791503906,0,151,34,76,3,237,543
2573593,2011,1.661681652069092,89.41187286376953,0,139,37,74,3,237,539
2573593,2012,5.272407531738281,92.00576782226563,0,121,34,76,3,155,520
2673668,2009,0,87.38367462158203,0,204,58,156,8,415,490
2673668,2010,3.8955979347229,89.52548980712891,0,147,68,161,8,415,510
2673668,2012,11.75088119506836,96.47252655029297,0,155,60,148,7,200,455
2673692,2010,3.8955979347229,90.75,29,338,163,349,2,260,1124
2673692,2011,7.886435508728027,93.29849243164063,24,346,172,333,2,350,1129
2966332,2009,0,78.04116821289063,41,1098,265,688,16,491,1676
2966332,2010,3.628183603286743,77.24414825439453,40,1024,261,629,12,195,1708
2966332,2011,3.700688123703003,76.85500335693359,18,985,252,606,11,397,1669
2966332,2012,11.24769020080566,96.80856323242188,13,920,257,544,11,397,1285
2966340,2009,0,89.46806335449219,120,884,273,779,7,324,1237
2966340,2010,3.628183603286743,89.69636535644531,0,799,263,680,6,376,1156
2966340,2011,3.700688123703003,90.01756286621094,0,715,238,562,6,222,1025
2966340,2012,11.24769020080566,91.38556671142578,0,673,236,543,6,201,970
2966357,2010,3.628183603286743,92.37198638916016,227,2224,758,2078,17,933,3734
2966357,2011,3.700688123703003,92.91091918945313,132,2158,683,1918,17,694,3592
2966373,2010,3.628183603286743,93.92030334472656,72,1129,331,987,11,632,1581
2966373,2012,11.24769020080566,99.04826354980469,81,985,285,820,14,635,1471
2966381,2009,0,94.36775207519531,43,404,135,341,3,126,552
2966381,2010,3.628183603286743,93.53407287597656,29,397,141,303,2,119,543
2966381,2011,3.700688123703003,95.19065856933594,14,365,141,267,2,123,514
2966399,2009,0,71.76588439941406,28,184,42,139,2,82,299
2966399,2011,3.700688123703003,72.81640625,13,170,36,102,2,55,256
2966399,2012,11.24769020080566,76.31153869628906,0,157,38,67,2,36,260
2966407,2009,0,86.90814971923828,24,535,113,516,2,140,773
2966407,2010,3.628183603286743,86.61642456054688,43,502,103,399,95,47.5,743
2966407,2012,11.24769020080566,89.92396545410156,0,463,129,377,1,60,697
2966415,2009,0,89.06185150146484,0,61,10,1,1,58,97
2966415,2012,11.24769020080566,95.83494567871094,0,41,5,5,1,80,103
3166944,2009,0,91.00631713867188,269,1972,742,1952,23,2200,4114
3166944,2010,3.628183603286743,92.66092681884766,245,1755,750,1681,26,2988,3949
3166944,2011,3.700688123703003,92.88426971435547,247,1703,760,1610,21,2980,3845
3166944,2012,11.24769020080566,92.59822845458984,237,1668,742,1609,20,2974,3838
4569856,2009,0,76.83918762207031,259,1183,272,719,11,530,2164
4569872,2010,.7626601457595825,95.11380004882813,44,251,70,154,4,124,413
4569872,2012,8.107169151306152,97.28248596191406,14,204,45,148,3,128,354
4569880,2009,0,89.03921508789063,0,133,10,61,3,150,255
4569880,2010,.7626601457595825,95.48868560791016,13,6,18,52,3,142,221
4569914,2009,0,89.69332122802734,70,698,107,245,7,710,1526
4569914,2010,.7626601457595825,93.75105285644531,96,657,94,164,6,698,1426
4569914,2012,8.107169151306152,111.1114730834961,94,603,91,147,7,561,1202
4569922,2009,0,89.50666809082031,12,45,5,0,2,55,75
4569922,2012,8.107169151306152,95.92646789550781,0,41,0,11,2,51,68
4569948,2009,0,93.10850524902344,75,662,192,528,5,459,1023
4569948,2010,.7626601457595825,94.52400207519531,57,577,176,438,5,440,1000
4569948,2011,3.423224687576294,97.89796447753906,34,589,176,466,4,389,931
4569955,2009,0,91.45074462890625,0,654,57,400,8,720,1147
4569955,2010,.7626601457595825,93.24855041503906,0,588,98,330,9,621,1038
4569955,2011,3.423224687576294,90.33824157714844,0,630,114,363,9,663,1088
4569971,2010,.7626601457595825,95.07676696777344,0,1580,321,809,7,940,3426
4569971,2011,3.423224687576294,96.73699188232422,203,1620,355,879,6,827,3517
4569989,2010,.7626601457595825,90.25465393066406,53,523,111,330,8,369,1182
4569997,2010,.7626601457595825,96.89473724365234,0,11,2,4,1,11,19
4570003,2010,.7626601457595825,97.033447265625,67,362,140,385,2,144,598
4570003,2012,8.107169151306152,99.30435180664063,103,376,140,404,2,143,598
4570011,2009,0,91.64674377441406,30,325,45,160,5,278,569
4570011,2010,.7626601457595825,94.58413696289063,38,279,41,131,5,273.4,517
4570011,2011,3.423224687576294,95.72188568115234,26,254,47,86,5,245,489
4570011,2012,8.107169151306152,97.13043975830078,19,267,63,77,5,248,506
4570029,2009,0,95,4,57,8,31,2,49.9,89
4570029,2010,.7626601457595825,89.76343536376953,1,40,4,16,2,49.9,93
4570029,2011,3.423224687576294,98.88888549804688,0,37,5,19,2,26,81
4570037,2009,0,98.35713958740234,0,10,0,2,1,13,14
4570037,2010,.7626601457595825,101.466667175293,0,7,1,1,1,13,15
4570037,2011,3.423224687576294,68.56521606445313,0,5,0,1,1,10,23
4570037,2012,8.107169151306152,98.21428680419922,0,6,0,0,1,9,14
4570045,2009,0,94.11479949951172,0,202,66,182,4,177,331
4570045,2010,.7626601457595825,94.66887664794922,0,181,69,162,4,207,302
4570045,2011,3.423224687576294,96.94544982910156,0,175,61,152,4,168,275
4570045,2012,8.107169151306152,98.65201568603516,0,165,56,154,4,134,273
4570052,2011,3.423224687576294,95.24800109863281,19,167,26,103,2,118,250
4570052,2012,8.107169151306152,99.66283416748047,11,169,26,98,2,114,261
4570078,2009,0,95.88524627685547,0,220,102,209,0,0,305
4570086,2009,0,85.02439117431641,5,27,2,14,2,35,41
4570086,2010,.7626601457595825,104.7000045776367,0,16,1,0,2,19,20
4570086,2012,8.107169151306152,91.64706420898438,0,4,2,0,1,14,17
4570094,2009,0,93.34455108642578,30,416,116,276,,390,624
4570094,2010,.7626601457595825,94.24758911132813,21,385,118,261,5,328,622
4570094,2011,3.423224687576294,93.27318572998047,35,348,111,237,4,320,593
4570110,2009,0,87.73271179199219,242,2194,177,1407,11,937,3427
4570110,2011,3.423224687576294,88.90656280517578,214,1915,265,1240,9,805,3307
4570110,2012,8.107169151306152,89.78152465820313,178,1845,306,1189,8,829,3378
4570128,2009,0,95.76724243164063,8,58,8,38,2,90.40000000000001,116
4570128,2010,.7626601457595825,94.26589965820313,9,94,19,60,2,87.5,173
4570128,2012,8.107169151306152,96.4375,3,72,17,57,2,71.3,144
4570136,2009,0,78.56050872802734,590,3761,1087,3246,17,887,5834
4570136,2010,.7626601457595825,79.55197906494141,640,3371,959,2803,17,895,5714
4570136,2011,3.423224687576294,78.56052398681641,1119,3183,988,2635,17,861,5659
4570136,2012,8.107169151306152,77.40132141113281,786,3035,995,2491,17,796,5741
4570169,2009,0,99.10714721679688,4,20,3,7,1,28.5,28
4570169,2010,.7626601457595825,97.57894897460938,4,20,2,4,1,19.6,19
4570169,2012,8.107169151306152,101.7916641235352,3,17,1,3,1,18,24
4573700,2010,.7626601457595825,89.88461303710938,0,29,7,5,3,38.2,78
4573700,2011,3.423224687576294,97.60293579101563,0,30,12,6,3,30.2,68
4573700,2012,8.107169151306152,100.1449279785156,0,29,15,4,2,36.5,69
4575267,2009,0,86.53395080566406,111,1602,281,711,17,1220,2931
4575267,2010,.7626601457595825,71.57432556152344,98,2013,440,930,17,1306,3599
4575267,2011,3.423224687576294,64.61703491210938,111,2039,413,1013,17,1118,3922
4575267,2012,8.107169151306152,64.13570404052734,92,2081,447,1012,17,1276,3994
4770185,2009,0,90.17143249511719,0,53,7,31,1,58,105
4770185,2012,5.272407531738281,96.77570343017578,7,47,8,21,1,79,107
4770193,2009,0,89.90000152587891,2,6,1,4,1,8,10
4770193,2011,1.661681652069092,80.9375,2,5,1,3,1,8,16
4770201,2009,0,93.45033264160156,25,109,25,65,1,134.7,151
4770201,2012,5.272407531738281,96.34682464599609,28,84,29,54,1,89.90000000000001,173
4770243,2009,0,93.51933288574219,30,99,5,43,1,177,181
4770243,2011,1.661681652069092,94.76388549804688,18,78,2,25,1,72,144
4770250,2010,0,85.69230651855469,21,64,7,32,1,34,104
4770250,2011,1.661681652069092,97.16129302978516,20,59,8,28,1,31,93
4770250,2012,5.272407531738281,96.32926940917969,13,48,5,28,1,31,82
4770292,2010,0,92.33333587646484,6,1,1,0,1,6.8,12
4770292,2009,0,78.16667175292969,4,5,2,0,1,6.8,12
4770292,2012,5.272407531738281,89.125,0,5,0,0,1,4,8
4770318,2010,0,100.4313659667969,1,26,3,9,1,47,51
4770318,2009,0,101.5882339477539,0,32,2,11,1,44,51
4770318,2011,1.661681652069092,99.28260803222656,0,4,7,12,1,42,46
4770318,2012,5.272407531738281,105.1500015258789,1,31,8,11,1,36,40
4770326,2009,0,102.4393920898438,10,123,24,58,1,41.5,132
4770326,2011,1.661681652069092,94.56179809570313,27,122,22,63,1,45.8,178
4770326,2012,5.272407531738281,98.75308227539063,18,111,24,43,1,44.3,162
4770334,2010,0,87.18260955810547,0,26,12,0,4,36,115
4770359,2011,1.661681652069092,99.51851654052734,11,13,1,0,1,22,27
4770359,2012,5.272407531738281,94.72727203369141,7,18,4,1,1,24,33
4770375,2010,0,76.60869598388672,0,10,2,3,2,17,23
4770375,2009,0,69.04347229003906,0,11,0,4,1,14.5,23
4770375,2012,5.272407531738281,107.5384674072266,0,6,0,4,2,12.1,13
4770383,2010,0,102.6153793334961,0,20,4,15,0,0,26
4770409,2011,1.661681652069092,92.92856597900391,0,1,0,24,1,4,84
4770409,2012,5.272407531738281,101.2624969482422,0,10,0,17,1,5,80
4770417,2010,0,97.23944091796875,11,85,5,23,1,85.7,142
4770417,2011,1.661681652069092,103.4569473266602,9,91,7,24,1,106.5,151
4770417,2012,5.272407531738281,91.82926940917969,0,79,9,45,1,45,164
4770425,2010,0,89.122802734375,93,337,94,295,2,129.7,627
4770425,2011,1.661681652069092,95.61862945556641,62,306,97,270,2,97.5,569
4770458,2009,0,90.59375,0,22,4,8,2,15,32
4770458,2010,0,87.8125,0,15,2,3,1,18,32
4770458,2011,1.661681652069092,96.61289978027344,0,18,1,3,1,25,31
4770458,2012,5.272407531738281,95.40625,0,15,1,3,1,25,32
4770466,2011,1.661681652069092,88.30496215820313,0,326,69,267,8,95,705
4770466,2012,5.272407531738281,93.88102722167969,0,300,44,258,6,58,622
4770482,2009,0,90.54895782470703,23,165,16,63,2,110.4,337
4770482,2012,5.272407531738281,98.11029815673828,19,124,18,57,2,106,272
4770490,2009,0,100.3076858520508,30,26,4,11,1,30,39
4770490,2011,1.661681652069092,84.89795684814453,1,29,3,12,1,28,49
4770490,2012,5.272407531738281,103.9591827392578,0,34,4,9,1,30,49
